ParticleType,Energy
3pi-,1424.84
mu-,530.726
pi+,551.198
2pi+,535.276
mu+,281.63
2mu+,185.485
3mu+,86.5666
pi+,1019.77
2pi+,1018.66
pi-,688.468
2mu-,390.217
3mu-,339.535
mu+,145.542
2mu+,143.417
3mu+,131.265
pi+,1303.37
2pi+,1302.12
3pi+,1300.85
pi+,455.381
2pi+,443.26
pi-,882.358
pi+,211.544
2mu+,136.304
3mu+,134.842
pi+,267.187
2mu+,289.021
3mu+,286.599
pi-,641.259
2pi-,640.037
3mu-,537.786
pi+,356.402
3pi-,1974.98
pi+,109.855
mu-,157.395
2mu-,152.716
3mu-,77.318
mu-,51.4472
2mu-,49.5382
pi+,394.497
pi-,811.216
2pi-,790.81
pi+,619.179
2pi+,608.674
3pi+,501.233
2pi+,394.56
pi+,2833.66
2pi+,2832.32
3pi+,2771.77
mu+,130.072
2mu+,59.4269
3mu+,56.6641
pi-,499.26
pi-,103.04
pi+,1166.14
2pi+,1165.01
3pi+,1053.22
pi-,728.521
pi+,361.111
2pi+,359.756
3pi+,358.58
pi-,349.243
pi+,472.274
mu+,201.264
2mu+,199.197
3mu+,44.8614
pi+,94.8624
mu-,1733.17
3mu-,1430.55
pi+,578.526
2pi+,577.204
3pi+,576.015
pi-,512.786
2pi-,511.372
pi-,953.076
2pi-,933.55
mu-,48.1868
pi+,230.348
mu+,981.937
pi+,579.872
2pi+,104.383
pi+,251.218
2pi+,250.119
3pi+,248.75
pi+,2413.92
2pi+,2412.41
pi-,456.433
pi+,47.4413
pi-,1267.14
mu+,12.8493
pi+,270.815
2pi+,250.597
3mu+,167.942
pi+,579.233
3mu+,153.194
pi-,417.45
2pi-,327.504
mu-,132.377
pi-,402.631
pi+,399.515
pi+,207.209
2mu+,141.792
3mu+,43.734
mu-,194.853
2mu-,193.648
3mu-,192.386
mu+,149.652
2mu+,112.637
pi-,103.391
2pi-,101.738
3pi-,99.4916
pi+,235.147
2mu-,255.463
3mu-,180.136
pi+,393.966
2pi+,392.761
3pi+,391.657
mu-,1270.1
mu-,92.2657
pi-,251.661
pi-,513.019
2mu-,470.071
3mu-,414.96
pi-,1362.7
mu+,116.237
2mu+,28.5603
3mu+,25.5791
2mu+,273.523
pi+,462.292
2pi+,442.197
mu-,121.924
mu+,76.5101
mu-,433.37
2mu-,431.328
3mu-,428.807
mu+,751.779
2mu+,717.596
pi+,404.073
pi+,820.065
2pi-,114.159
pi-,910.188
3mu-,84.3431
pi+,882.305
2mu+,119.107
pi+,253.918
2pi+,232.924
3pi+,131.588
pi-,587.667
2pi-,586.539
3pi-,526.842
pi+,1152.41
pi-,342.81
3pi-,42.2928
2pi+,1021.41
pi+,281.242
pi-,1957.56
2mu-,1391.04
3mu-,1389.62
pi+,649.813
2pi+,648.728
3pi+,645.492
3pi-,428.617
