Detector,ParticleType,x[cm],px[MeV/c],y[cm],py[MeV/c],z[cm],pz[MeV/c],TotalEnergy[MeV]
1,pi+,-14.336,-0.466748,8.17726,-0.0631805,450.95,0.770087,773.862
2,pi-,-23.4387,-0.0293762,20.6371,0.216811,1097.5,0.209092,193.7
3,mu+,6.25235,0.0547462,30.3878,-0.0572117,1769.95,0.356017,274.055
1,pi+,15.8776,0.074448,-12.8293,-0.164593,450.95,0.203059,165.955
3,mu-,-12.4217,0.0160582,30.7394,0.0578504,1769.95,0.14451,83.157
1,mu-,1.09195,-0.10628,9.05878,0.164826,450.95,0.486034,428.996
3,mu-,-14.1674,0.048306,8.194,0.106209,1769.95,0.225331,169.208
1,pi-,-5.07856,0.0890356,-4.68983,-0.0166161,450.95,0.307401,209.971
2,pi-,12.2523,0.0160646,9.71925,0.0920504,1097.45,0.305226,208.818
1,pi+,-15.3187,-0.0218556,8.87122,0.20695,450.95,1.0465,936.512
2,pi+,-0.213723,-0.134399,-12.5236,0.0803338,1097.45,0.957661,840.792
3,pi+,33.4365,0.12352,46.1125,-0.0614955,1769.95,0.899926,781.508
1,pi-,1.06952,0.0221244,-2.25919,-0.0137919,450.95,0.583087,460.555
2,mu-,-1.72259,-0.0353445,1.70478,-0.0302011,1097.45,0.520368,427.359
3,mu-,2.23504,-0.0438472,2.66101,-0.00199089,1769.95,0.519401,426.192
1,pi+,8.91978,0.124736,6.36812,-0.095805,450.95,2.49211,2361.4
2,pi+,-6.1488,-0.158188,-20.5088,0.00609057,1097.45,2.49086,2360.21
3,pi+,-48.7622,-0.173401,8.51641,0.219402,1769.95,2.32005,2201.43
1,pi+,6.44974,0.279505,3.75916,-0.116589,450.95,1.94387,1832.69
1,mu-,9.06051,0.0590923,0.149614,-0.0098773,450.95,0.149223,86.7492
2,mu-,6.10607,-0.0231444,-6.45099,-0.0547382,1097.45,0.147503,85.2671
3,mu-,22.2642,-0.0184754,-6.53886,0.049855,1769.95,0.124053,65.7466
1,pi-,-12.2057,-0.265594,-6.14658,-0.143106,450.95,0.152085,225.984
3,pi-,43.3113,0.226217,16.5451,0.0215622,1769.95,0.846195,747.653
3,pi-,37.9011,-0.0264475,10.8079,-0.148761,1769.95,0.649922,542.125
1,pi+,7.34674,0.0899477,-1.24802,-0.0824419,450.95,0.467588,363.426
2,pi+,20.7581,-0.0126182,-19.748,-0.112159,1097.5,0.387573,287.55
3,mu+,-21.0022,0.0432783,-7.42665,0.0855901,1769.95,0.233333,167.85
1,mu+,-9.48137,-0.0446201,-5.15927,0.10351,450.95,0.816927,725.749
2,mu+,-7.39515,0.0964018,7.77003,0.0635975,1097.45,0.815201,724.434
3,mu+,4.9318,-0.115105,-33.8884,0.0124752,1769.95,0.7133,624.661
1,pi-,-16.6056,-0.04129,-7.60249,-0.118026,450.95,0.534564,426.887
2,mu-,-21.0061,0.0297691,-17.6896,-0.0730639,1097.5,0.223517,153.857
3,mu-,-13.5675,0.0215107,-30.4906,-0.0436633,1769.95,0.121863,62.8156
