Step,X_mm,Y_mm,Z_mm,R_mm,Bx_Tesla,By_Tesla,Bz_Tesla,B_magnitude_Tesla,Particle,Volume,TrackID
11340,-30.3813,-6.2836,15640.0000,31.0243,0.00000000,0.00000000,1.85164714,1.85164714,proton,Solenoid_1_FieldVolume,1
11345,8.6107,7.3518,930.0000,11.3222,0.00000000,0.00000000,24.07141282,24.07141282,proton,Solenoid_1_FieldVolume,1
11350,64.8852,-19.2731,5310.5000,67.6871,0.00000000,0.00000000,9.25823570,9.25823570,proton,Solenoid_1_FieldVolume,1
11355,91.1303,-77.6998,9560.0000,119.7581,0.00000000,0.00000000,1.85164714,1.85164714,proton,Solenoid_1_FieldVolume,1
11360,99.0895,-142.8275,13940.0000,173.8344,0.00000000,0.00000000,1.85164714,1.85164714,proton,Solenoid_1_FieldVolume,1
11365,91.2554,-205.1157,18190.0000,224.4994,0.00000000,0.00000000,1.85164714,1.85164714,proton,Solenoid_1_FieldVolume,1
11370,-32.7825,-57.3270,3480.0000,66.0384,0.00000000,0.00000000,7.40658856,7.40658856,proton,Solenoid_1_FieldVolume,1
11375,-129.7508,-71.5549,7860.0000,148.1735,0.00000000,0.00000000,3.70329428,3.70329428,proton,Solenoid_1_FieldVolume,1
11380,-225.2480,-45.8629,12240.5000,229.8696,0.00000000,0.00000000,1.85164714,1.85164714,proton,Solenoid_1_FieldVolume,1
11385,-309.4796,-0.5206,16490.0000,309.4801,0.00000000,0.00000000,1.85164714,1.85164714,proton,Solenoid_1_FieldVolume,1
11400,-23.9439,834.6566,221.4175,835.0000,0.00000000,0.00000000,24.07141282,24.07141282,gamma,Solenoid_1_FieldVolume,10
11555,-103.7969,-8.1542,930.0000,104.1167,0.00000000,0.00000000,24.07141282,24.07141282,proton,Solenoid_1_FieldVolume,3
11560,-65.9755,68.6527,3915.5000,95.2153,0.00000000,0.00000000,11.10988284,11.10988284,proton,Solenoid_1_FieldVolume,3
11585,-269.2643,123.3848,100.0000,296.1876,0.00000000,0.00000000,24.07141282,24.07141282,gamma,Solenoid_1_FieldVolume,127
11605,22.4425,139.8185,100.0000,141.6082,0.00000000,0.00000000,24.07141282,24.07141282,gamma,Solenoid_1_FieldVolume,126
11690,423.0317,671.3318,1158.7622,793.5000,0.00000000,0.00000000,16.66482426,16.66482426,anti_nu_e,Solenoid_1_FieldVolume,210
11800,-800.5375,-237.4124,208.5731,835.0000,0.00000000,0.00000000,24.07141282,24.07141282,gamma,Solenoid_1_FieldVolume,272
11820,-481.6153,-317.9532,-750.0000,577.1027,0.00000000,0.00000000,24.07141282,24.07141282,gamma,Solenoid_1_FieldVolume,271
11840,139.7414,-243.7889,100.0000,280.9995,0.00000000,0.00000000,24.07141282,24.07141282,neutron,Solenoid_1_FieldVolume,270
12525,-793.0345,27.1773,1357.7037,793.5000,0.00000000,0.00000000,16.66482426,16.66482426,neutron,Solenoid_1_FieldVolume,269
13180,-178.9125,-741.4701,2340.7664,762.7500,0.00000000,0.00000000,11.10988284,11.10988284,nu_e,Solenoid_1_FieldVolume,1071
13730,78.6282,77.5823,930.0000,110.4600,0.00000000,0.00000000,24.07141282,24.07141282,proton,Solenoid_1_FieldVolume,117
13735,498.6141,-320.7146,5310.5000,592.8523,0.00000000,0.00000000,9.25823570,9.25823570,proton,Solenoid_1_FieldVolume,117
14230,-12.5042,721.1416,7246.8284,721.2500,0.00000000,0.00000000,3.70329428,3.70329428,neutron,Solenoid_1_FieldVolume,1422
14355,-692.7742,-200.6625,6408.4927,721.2500,0.00000000,0.00000000,3.70329428,3.70329428,gamma,Solenoid_1_FieldVolume,1689
15050,-708.6462,-134.2466,7295.5392,721.2500,0.00000000,0.00000000,3.70329428,3.70329428,gamma,Solenoid_1_FieldVolume,2102
15870,-632.8060,-323.0585,9706.7757,710.5000,0.00000000,0.00000000,1.85164714,1.85164714,anti_nu_mu,Solenoid_1_FieldVolume,2535
15875,-41.3076,-682.3303,8710.0000,683.5796,0.00000000,0.00000000,1.85164714,1.85164714,nu_mu,Solenoid_1_FieldVolume,2533
15910,575.4242,-546.3783,1484.8243,793.5000,0.00000000,0.00000000,16.66482426,16.66482426,gamma,Solenoid_1_FieldVolume,2548
15985,-793.1909,-260.9083,-224.8316,835.0000,0.00000000,0.00000000,24.07141282,24.07141282,gamma,Solenoid_1_FieldVolume,2579
16000,-42.6761,-3.4257,3480.0000,42.8134,0.00000000,0.00000000,7.40658856,7.40658856,e-,Solenoid_1_FieldVolume,2577
16005,-266.0734,-263.4242,7860.0000,374.4160,0.00000000,0.00000000,3.70329428,3.70329428,e-,Solenoid_1_FieldVolume,2577
16010,-641.3933,-231.4436,12240.5000,681.8736,0.00000000,0.00000000,1.85164714,1.85164714,e-,Solenoid_1_FieldVolume,2577
16015,-624.9521,-226.1299,16490.0000,664.6050,0.00000000,0.00000000,1.85164714,1.85164714,e-,Solenoid_1_FieldVolume,2577
16035,-70.7417,94.4911,100.0000,118.0380,0.00000000,0.00000000,24.07141282,24.07141282,gamma,Solenoid_1_FieldVolume,2607
16055,818.8954,-163.2034,-668.4052,835.0000,0.00000000,0.00000000,24.07141282,24.07141282,neutron,Solenoid_1_FieldVolume,2606
