X_mm,Y_mm,Z_mm,Bx_Tesla,By_Tesla,Bz_Tesla,Particle,Volume
-765.6698,-68.3255,1780.0000,0.00000000,0.00000000,16.66482426,gamma,Solenoid_1_FieldVolume
655.9182,-516.7169,495.8796,0.00000000,0.00000000,24.07141282,gamma,Solenoid_1_FieldVolume
286.2459,-784.4031,148.9956,0.00000000,0.00000000,24.07141282,gamma,Solenoid_1_FieldVolume
-177.3467,26.6814,930.0000,0.00000000,0.00000000,24.07141282,neutron,Solenoid_1_FieldVolume
-218.0796,1.7892,3915.5000,0.00000000,0.00000000,11.10988284,nu_e,Solenoid_1_FieldVolume
340.9653,682.2978,2484.7930,0.00000000,0.00000000,11.10988284,nu_e,Solenoid_1_FieldVolume
497.8008,402.3851,950.0000,0.00000000,0.00000000,16.66482426,gamma,Solenoid_1_FieldVolume
506.0961,570.6613,2517.2285,0.00000000,0.00000000,11.10988284,nu_e,Solenoid_1_FieldVolume
191.0158,716.4742,3385.9389,0.00000000,0.00000000,7.40658856,nu_e,Solenoid_1_FieldVolume
15.7535,834.8514,-253.8075,0.00000000,0.00000000,24.07141282,neutron,Solenoid_1_FieldVolume
-42.5504,91.1520,2630.0000,0.00000000,0.00000000,11.10988284,proton,Solenoid_1_FieldVolume
-58.8199,19.2269,2630.0000,0.00000000,0.00000000,11.10988284,pi+,Solenoid_1_FieldVolume
363.9319,-372.2871,7010.0000,0.00000000,0.00000000,3.70329428,pi+,Solenoid_1_FieldVolume
126.0298,349.4969,10410.0000,0.00000000,0.00000000,1.85164714,neutron,Solenoid_1_FieldVolume
-710.4492,-8.4923,10340.8486,0.00000000,0.00000000,1.85164714,gamma,Solenoid_1_FieldVolume
222.9605,674.6102,9174.1314,0.00000000,0.00000000,1.85164714,gamma,Solenoid_1_FieldVolume
-2.7454,7.4279,930.0000,0.00000000,0.00000000,24.07141282,pi+,Solenoid_1_FieldVolume
-47.4511,55.9201,5310.5000,0.00000000,0.00000000,9.25823570,pi+,Solenoid_1_FieldVolume
-33.8652,111.6675,9560.0000,0.00000000,0.00000000,1.85164714,pi+,Solenoid_1_FieldVolume
55.2231,-56.2029,13545.0027,0.00000000,0.00000000,1.85164714,pi+,Solenoid_1_FieldVolume
55.7293,-1.6247,16490.0000,0.00000000,0.00000000,1.85164714,mu+,Solenoid_1_FieldVolume
-134.9718,-51.3393,15640.0000,0.00000000,0.00000000,1.85164714,nu_mu,Solenoid_1_FieldVolume
54.4269,-55.7581,14790.0000,0.00000000,0.00000000,1.85164714,e-,Solenoid_1_FieldVolume
74.5174,-19.2902,930.0000,0.00000000,0.00000000,24.07141282,proton,Solenoid_1_FieldVolume
-231.0226,92.0403,5310.5000,0.00000000,0.00000000,9.25823570,proton,Solenoid_1_FieldVolume
363.4281,-51.6708,9560.0000,0.00000000,0.00000000,1.85164714,proton,Solenoid_1_FieldVolume
-105.3206,-702.6506,13437.8813,0.00000000,0.00000000,1.85164714,proton,Solenoid_1_FieldVolume
-4.9632,-12.8719,930.0000,0.00000000,0.00000000,24.07141282,pi-,Solenoid_1_FieldVolume
39.4496,-50.6424,5310.5000,0.00000000,0.00000000,9.25823570,pi-,Solenoid_1_FieldVolume
-74.8703,-42.2725,9560.0000,0.00000000,0.00000000,1.85164714,pi-,Solenoid_1_FieldVolume
116.4180,-167.7169,13940.0000,0.00000000,0.00000000,1.85164714,pi-,Solenoid_1_FieldVolume
82.2192,34.4385,18190.0000,0.00000000,0.00000000,1.85164714,pi-,Solenoid_1_FieldVolume
753.3108,11.3012,-750.0000,0.00000000,0.00000000,24.07141282,gamma,Solenoid_1_FieldVolume
51.2462,-157.9054,3480.0000,0.00000000,0.00000000,7.40658856,pi-,Solenoid_1_FieldVolume
690.1696,-391.5459,1217.3861,0.00000000,0.00000000,16.66482426,anti_nu_e,Solenoid_1_FieldVolume
139.2576,-0.1174,406.4839,0.00000000,0.00000000,24.07141282,e-,Solenoid_1_FieldVolume
171.1955,-132.2517,423.9701,0.00000000,0.00000000,24.07141282,e-,Solenoid_1_FieldVolume
171.1476,-132.2766,432.4038,0.00000000,0.00000000,24.07141282,e-,Solenoid_1_FieldVolume
171.1812,-132.2533,382.3484,0.00000000,0.00000000,24.07141282,e-,Solenoid_1_FieldVolume
171.1776,-132.2118,390.6037,0.00000000,0.00000000,24.07141282,e-,Solenoid_1_FieldVolume
386.8106,-261.5931,930.0000,0.00000000,0.00000000,24.07141282,anti_nu_e,Solenoid_1_FieldVolume
-80.3694,771.4123,1780.0000,0.00000000,0.00000000,16.66482426,gamma,Solenoid_1_FieldVolume
-607.2484,-1.8650,2630.0000,0.00000000,0.00000000,11.10988284,nu_e,Solenoid_1_FieldVolume
-563.6701,-605.7407,-1600.0000,0.00000000,0.00000000,24.07141282,gamma,Solenoid_1_FieldVolume
-180.3701,-31.0024,3480.0000,0.00000000,0.00000000,7.40658856,pi-,Solenoid_1_FieldVolume
-93.4114,-735.5927,3192.6490,0.00000000,0.00000000,7.40658856,neutron,Solenoid_1_FieldVolume
-0.1877,125.4979,1780.0000,0.00000000,0.00000000,16.66482426,neutron,Solenoid_1_FieldVolume
0.3275,502.8895,6160.0000,0.00000000,0.00000000,3.70329428,neutron,Solenoid_1_FieldVolume
157.7935,-261.0339,7880.0000,0.00000000,0.00000000,1.85164714,neutron,Solenoid_1_FieldVolume
653.8598,-277.9884,8995.7299,0.00000000,0.00000000,1.85164714,gamma,Solenoid_1_FieldVolume
111.6964,-95.7808,10263.1195,0.00000000,0.00000000,1.85164714,e-,Solenoid_1_FieldVolume
114.0515,-82.9143,10326.3262,0.00000000,0.00000000,1.85164714,e-,Solenoid_1_FieldVolume
113.5518,-81.6900,10313.1112,0.00000000,0.00000000,1.85164714,e-,Solenoid_1_FieldVolume
113.7830,-81.5695,10313.5367,0.00000000,0.00000000,1.85164714,e-,Solenoid_1_FieldVolume
